condition_mesh_terms	Days	MeshSystem
Arthritis	242	Musculoskeletal
Schizophrenia	2314	Mental Disorders
Psychotic Disorders	2314	Mental Disorders
Hepatitis	670	Digestive System
Macular Degeneration	974	Eye
Psoriasis	731	Skin and Connective Tissue
Tuberculosis	1417	Infections
Psoriasis	181	Skin and Connective Tissue
Glioblastoma	914	Neoplasms
Parkinson Disease	1856	Nervous System
Graft vs Host Disease	2465	Immune System
Leukemia	1548	Neoplasms
Myelodysplastic Syndromes	1548	Hemic and Lymphatic
Parkinson Disease	1887	Nervous System
Premature Birth	4322	Female
Anxiety Disorders	300	Mental Disorders
Leukemia	4442	Neoplasms
Anemia	4442	Hemic and Lymphatic
Myelodysplastic Syndromes	4442	Hemic and Lymphatic
Primary Myelofibrosis	4442	Hemic and Lymphatic
Myeloproliferative Disorders	4442	Hemic and Lymphatic
Melanoma	2008	Neoplasms
Tuberculosis	1112	Infections
Leukemia	1249	Neoplasms
Neuroendocrine Tumors	2161	Neoplasms
Leukemia	2100	Neoplasms
Irritable Bowel Syndrome	396	Digestive System
Osteoarthritis	518	Musculoskeletal
Psoriasis	609	Skin and Connective Tissue
Metabolic Syndrome	943	Nutritional and Metabolic
Dyslipidemias	943	Nutritional and Metabolic
Parkinson Disease	731	Nervous System
Heart Diseases	365	Cardiovascular
Coronary Disease	365	Cardiovascular
Coronary Artery Disease	365	Cardiovascular
Myocardial Ischemia	365	Cardiovascular
Sarcoma	1856	Neoplasms
Schizophrenia	1765	Mental Disorders
Psychotic Disorders	1765	Mental Disorders
Tuberculosis	120	Infections
Head and Neck Neoplasms	1977	Neoplasms
Neoplasms	1977	Neoplasms
Sarcoma	1795	Neoplasms
Anemia	456	Hemic and Lymphatic
Neoplasms	456	Neoplasms
Epilepsy	273	Nervous System
Glioblastoma	1187	Neoplasms
Gliosarcoma	1187	Neoplasms
Depressive Disorder	579	Mental Disorders
Anemia	1065	Hemic and Lymphatic
Neoplasms	1127	Neoplasms
Motor Neuron Disease	761	Nervous System
Lung Diseases	181	Respiratory Tract
Hepatitis	150	Digestive System
Dermatitis	731	Skin and Connective Tissue
Leukemia	1948	Neoplasms
Carcinoma	365	Neoplasms
Carcinoma	943	Neoplasms
Hepatitis	243	Digestive System
Hypertension	731	Cardiovascular
Neoplasms	1431	Neoplasms
Carcinoma	790	Neoplasms
Adenocarcinoma	790	Neoplasms
Neoplasms	2769	Neoplasms
Macular Degeneration	1218	Eye
Sarcoma	2526	Neoplasms
Adenocarcinoma	1918	Neoplasms
Neoplasms	1918	Neoplasms
Leukemia	1186	Neoplasms
Neoplasms	2069	Neoplasms
Leukemia	1826	Neoplasms
Attention Deficit Disorder with Hyperactivity	243	Mental Disorders
Leukemia	731	Neoplasms
Hepatitis	2100	Digestive System
Dermatitis	243	Skin and Connective Tissue
Eczema	243	Skin and Connective Tissue
Glioblastoma	1194	Neoplasms
Glioma	1194	Neoplasms
Astrocytoma	1194	Neoplasms
Mesothelioma	1795	Neoplasms
Head and Neck Neoplasms	1978	Neoplasms
Arthritis	457	Musculoskeletal
Irritable Bowel Syndrome	395	Digestive System
Leukemia	396	Neoplasms
Arthritis	578	Musculoskeletal
Macular Degeneration	517	Eye
Leukemia	3073	Neoplasms
Myelodysplastic Syndromes	3073	Hemic and Lymphatic
Hypertension	1035	Cardiovascular
Attention Deficit Disorder with Hyperactivity	1369	Mental Disorders
Hypertension	911	Cardiovascular
Carcinoma	1796	Neoplasms
Carcinoma	3241	Neoplasms
Leukemia	3669	Neoplasms
Leukemia	762	Neoplasms
Anemia	762	Hemic and Lymphatic
Neoplasms	1156	Neoplasms
Hypertension	1004	Cardiovascular
Metabolic Syndrome	1004	Nutritional and Metabolic
Crohn Disease	517	Digestive System
Coronary Artery Disease	487	Cardiovascular
Myocardial Ischemia	487	Cardiovascular
Coronary Disease	487	Cardiovascular
Colitis	609	Digestive System
Hepatitis	212	Digestive System
Attention Deficit Disorder with Hyperactivity	976	Mental Disorders
Lung Diseases	425	Respiratory Tract
Myelodysplastic Syndromes	1400	Hemic and Lymphatic
Thrombocytopenia	1400	Hemic and Lymphatic
Lung Diseases	304	Respiratory Tract
Anxiety Disorders	273	Mental Disorders
Dermatitis	120	Skin and Connective Tissue
Hypercholesterolemia	242	Nutritional and Metabolic
Cognitive Dysfunction	670	Mental Disorders
Eczema	151	Skin and Connective Tissue
Melanoma	1247	Neoplasms
Neoplasms	395	Neoplasms
Glioma	1705	Neoplasms
Premature Birth	1364	Female
Hypercholesterolemia	245	Nutritional and Metabolic
Metabolic Syndrome	549	Nutritional and Metabolic
Heart Failure	2526	Cardiovascular
Neoplasms	1461	Neoplasms
Neoplasms	1703	Neoplasms
Parkinson Disease	714	Nervous System
Sarcoma	1400	Neoplasms
Neoplasms	3622	Neoplasms
Parkinson Disease	669	Nervous System
Macular Edema	2588	Eye
Macular Edema	1704	Eye
Mesothelioma	1157	Neoplasms
Carcinoma	2708	Neoplasms
Carcinoma	1492	Neoplasms
Leukemia	1127	Neoplasms
Depressive Disorder	1216	Mental Disorders
Malaria	365	Infections
Myelodysplastic Syndromes	1065	Hemic and Lymphatic
Schizophrenia	943	Mental Disorders
Psychotic Disorders	943	Mental Disorders
Attention Deficit Disorder with Hyperactivity	334	Mental Disorders
Depressive Disorder	456	Mental Disorders
Hypertension	609	Cardiovascular
Carcinoma	2891	Neoplasms
Schizophrenia	761	Mental Disorders
Depressive Disorder	666	Mental Disorders
Psychotic Disorders	1430	Mental Disorders
Hepatitis	790	Digestive System
Carcinoma	2192	Neoplasms
Neoplasms	1948	Neoplasms
Virus Diseases	1461	Infections
Hepatitis	823	Digestive System
Heart Failure	546	Cardiovascular
Irritable Bowel Syndrome	620	Digestive System
Myelodysplastic Syndromes	2130	Hemic and Lymphatic
Carcinoma	790	Neoplasms
Epilepsy	609	Nervous System
Leukemia	3684	Neoplasms
Hypertension	334	Cardiovascular
Lung Diseases	212	Respiratory Tract
Carcinoma	366	Neoplasms
Migraine Disorders	275	Nervous System
Cognitive Dysfunction	365	Mental Disorders
Carcinoma	3561	Neoplasms
Hypertension	1400	Cardiovascular
Glioblastoma	4241	Neoplasms
Gliosarcoma	4241	Neoplasms
Hepatitis	670	Digestive System
Neoplasms	2376	Neoplasms
Head and Neck Neoplasms	3561	Neoplasms
Hepatitis	3719	Digestive System
Hypertension	2436	Cardiovascular
Arthritis	1065	Musculoskeletal
Melanoma	1826	Neoplasms
Glioma	1604	Neoplasms
Neuroendocrine Tumors	1551	Neoplasms
Tuberculosis	2254	Infections
Arthritis	396	Musculoskeletal
Leukemia	3621	Neoplasms
Myelodysplastic Syndromes	3621	Hemic and Lymphatic
Myeloproliferative Disorders	3621	Hemic and Lymphatic
Myelodysplastic-Myeloproliferative Diseases	3621	Hemic and Lymphatic
Hypertension	486	Cardiovascular
Head and Neck Neoplasms	1400	Neoplasms
Leukemia	3622	Neoplasms
Arthritis	2100	Musculoskeletal
Hypersensitivity	243	Immune System
Keratoconjunctivitis Sicca	1308	Eye
Dry Eye Syndromes	1308	Eye
Keratosis	304	Skin and Connective Tissue
Neuroendocrine Tumors	2403	Neoplasms
Neoplasms	2403	Neoplasms
Sarcoma	700	Neoplasms
Glioma	2343	Neoplasms
Leukemia	1492	Neoplasms
Leukemia	1553	Neoplasms
Bipolar Disorder	2041	Mental Disorders
Psoriasis	823	Skin and Connective Tissue
Neoplasms	1612	Neoplasms
Carcinoma	1706	Neoplasms
Melanoma	1006	Neoplasms
Neoplasms	1887	Neoplasms
Macular Degeneration	1247	Eye
Adenocarcinoma	1369	Neoplasms
Arthritis	1005	Musculoskeletal
Colitis	609	Digestive System
Bipolar Disorder	1520	Mental Disorders
Psychotic Disorders	1520	Mental Disorders
Glioblastoma	2161	Neoplasms
Astrocytoma	2161	Neoplasms
Leukemia	670	Neoplasms
Melanoma	974	Neoplasms
Carcinoma	1124	Neoplasms
Arthritis	579	Musculoskeletal
Hepatitis	365	Digestive System
Hepatitis	245	Digestive System
Glioblastoma	1448	Neoplasms
Gliosarcoma	1448	Neoplasms
Adenocarcinoma	3288	Neoplasms
Neuroendocrine Tumors	1918	Neoplasms
Neoplasms	1918	Neoplasms
Melanoma	790	Neoplasms
Anemia	487	Hemic and Lymphatic
Parkinson Disease	701	Nervous System
Leukemia	790	Neoplasms
Malaria	891	Infections
Metabolic Syndrome	792	Nutritional and Metabolic
Neoplasms	2131	Neoplasms
Melanoma	1431	Neoplasms
Leukemia	5182	Neoplasms
Neuroblastoma	3010	Neoplasms
Melanoma	2131	Neoplasms
Leukemia	2526	Neoplasms
Epilepsy	2041	Nervous System
Cognitive Dysfunction	2009	Mental Disorders
Parkinson Disease	731	Nervous System
Malaria	184	Infections
Carcinoma	1828	Neoplasms
Graft vs Host Disease	1400	Immune System
Carcinoma	761	Neoplasms
Carcinoma	1979	Neoplasms
Head and Neck Neoplasms	1979	Neoplasms
Motor Neuron Disease	1371	Nervous System
Myocardial Ischemia	790	Cardiovascular
Leukemia	3165	Neoplasms
Neoplasms	792	Neoplasms
Adenocarcinoma	974	Neoplasms
Arthritis	639	Musculoskeletal
Astrocytoma	2557	Neoplasms
Tuberculosis	1096	Infections
Leukemia	2223	Neoplasms
Macular Edema	1186	Eye
Melanoma	912	Neoplasms
Glioblastoma	2192	Neoplasms
Glioma	2192	Neoplasms
Melanoma	1795	Neoplasms
Depressive Disorder	457	Mental Disorders
Myelodysplastic Syndromes	1066	Hemic and Lymphatic
Leukemia	3349	Neoplasms
Sarcoma	2223	Neoplasms
Thrombocytopenia	793	Hemic and Lymphatic
Depressive Disorder	245	Mental Disorders
Leukemia	3683	Neoplasms
Myelodysplastic Syndromes	3683	Hemic and Lymphatic
Myeloproliferative Disorders	3683	Hemic and Lymphatic
Head and Neck Neoplasms	1582	Neoplasms
Carcinoma	1675	Neoplasms
Tuberculosis	1949	Infections
Melanoma	1310	Neoplasms
Melanoma	2801	Neoplasms
Adenocarcinoma	820	Neoplasms
Leukemia	2069	Neoplasms
Myelodysplastic Syndromes	2069	Hemic and Lymphatic
Glaucoma	853	Eye
Anxiety Disorders	214	Mental Disorders
Depressive Disorder	214	Mental Disorders
Osteoarthritis	334	Musculoskeletal
Leukemia	1126	Neoplasms
Myelodysplastic Syndromes	1126	Hemic and Lymphatic
Leukemia	2252	Neoplasms
Autistic Disorder	976	Mental Disorders
Neoplasms	1614	Neoplasms
Anemia	2312	Hemic and Lymphatic
Myelodysplastic Syndromes	2312	Hemic and Lymphatic
Neoplasms	611	Neoplasms
Lung Diseases	197	Respiratory Tract
Carcinoma	1676	Neoplasms
Carcinoma	703	Neoplasms
Carcinoma	1096	Neoplasms
Leukemia	1369	Neoplasms
Keratoconjunctivitis Sicca	181	Eye
Dry Eye Syndromes	181	Eye
Neoplasms	4132	Neoplasms
Myelodysplastic Syndromes	1157	Hemic and Lymphatic
Sarcoma	2860	Neoplasms
Hypercholesterolemia	242	Nutritional and Metabolic
Migraine Disorders	516	Nervous System
Macular Edema	2102	Eye
Glioblastoma	3791	Neoplasms
Gliosarcoma	3791	Neoplasms
Epilepsy	1339	Nervous System
Sarcoma	580	Neoplasms
Glaucoma	488	Eye
Ocular Hypertension	488	Eye
Psychotic Disorders	1005	Mental Disorders
Bipolar Disorder	1005	Mental Disorders
Neuroendocrine Tumors	3802	Neoplasms
Hepatitis	2121	Digestive System
Parkinson Disease	488	Nervous System
Fatty Liver	1006	Digestive System
Non-alcoholic Fatty Liver Disease	1006	Digestive System
Psoriasis	1157	Skin and Connective Tissue
Attention Deficit Disorder with Hyperactivity	608	Mental Disorders
Metabolic Syndrome	1826	Nutritional and Metabolic
Carcinoma	973	Neoplasms
Motor Neuron Disease	2648	Nervous System
Carcinoma	517	Neoplasms
Carcinoma	1065	Neoplasms
Motor Neuron Disease	3346	Nervous System
Crohn Disease	1341	Digestive System
Glioblastoma	943	Neoplasms
Gliosarcoma	943	Neoplasms
Primary Myelofibrosis	730	Hemic and Lymphatic
Myeloproliferative Disorders	730	Hemic and Lymphatic
Hepatitis	762	Digestive System
Hypertension	731	Cardiovascular
Crohn Disease	640	Digestive System
Carcinoma	3683	Neoplasms
Head and Neck Neoplasms	3683	Neoplasms
Squamous Cell Carcinoma of Head and Neck	3683	Neoplasms
Hypertension	975	Cardiovascular
Schizophrenia	1430	Mental Disorders
Adenocarcinoma	2707	Neoplasms
Neoplasms	2707	Neoplasms
Macular Degeneration	1004	Eye
Leukemia	2799	Neoplasms
Depressive Disorder	610	Mental Disorders
Leukemia	502	Neoplasms
Myelodysplastic Syndromes	502	Hemic and Lymphatic
Myeloproliferative Disorders	502	Hemic and Lymphatic
Parkinson Disease	122	Nervous System
Malaria	792	Infections
Irritable Bowel Syndrome	366	Digestive System
Heart Failure	214	Cardiovascular
Parkinson Disease	1065	Nervous System
Carcinoma	2345	Neoplasms
Leukemia	1492	Neoplasms
Melanoma	1736	Neoplasms
Melanoma	519	Neoplasms
Leukemia	2376	Neoplasms
Colitis	611	Digestive System
Primary Myelofibrosis	2466	Hemic and Lymphatic
Schizophrenia	730	Mental Disorders
Cognitive Dysfunction	730	Mental Disorders
Sarcoma	3653	Neoplasms
Neoplasms	3653	Neoplasms
Macular Edema	1014	Eye
Carcinoma	700	Neoplasms
Hypersensitivity	670	Immune System
Adenocarcinoma	1673	Neoplasms
Carcinoma	3890	Neoplasms
Neoplasms	3890	Neoplasms
Carcinoma	2588	Neoplasms
Macular Degeneration	245	Eye
Leukemia	2373	Neoplasms
Myelodysplastic Syndromes	2373	Hemic and Lymphatic
Neoplasms	3380	Neoplasms
Hypercholesterolemia	549	Nutritional and Metabolic
Leukemia	2282	Neoplasms
Leukemia	1736	Neoplasms
Adenocarcinoma	2192	Neoplasms
Melanoma	1461	Neoplasms
Hypersensitivity	2160	Immune System
Leukemia	1004	Neoplasms
Fatty Liver	1127	Digestive System
Non-alcoholic Fatty Liver Disease	1127	Digestive System
Melanoma	2740	Neoplasms
Leukemia	1737	Neoplasms
Adenocarcinoma	2468	Neoplasms
Myelodysplastic Syndromes	4291	Hemic and Lymphatic
Primary Myelofibrosis	4291	Hemic and Lymphatic
Sarcoma	1310	Neoplasms
Dyslipidemias	275	Nutritional and Metabolic
Leukemia	1400	Neoplasms
Myelodysplastic Syndromes	1400	Hemic and Lymphatic
Hepatitis	1461	Digestive System
Keratoconjunctivitis Sicca	397	Eye
Dry Eye Syndromes	397	Eye
Attention Deficit Disorder with Hyperactivity	275	Mental Disorders
Leukemia	2922	Neoplasms
Peripheral Nervous System Diseases	275	Nervous System
Carcinoma	2131	Neoplasms
Tuberculosis	1522	Infections
Irritable Bowel Syndrome	2983	Digestive System
Carcinoma	2832	Neoplasms
Neuroendocrine Tumors	2832	Neoplasms
Crohn Disease	365	Digestive System
Hypertension	2800	Cardiovascular
Irritable Bowel Syndrome	487	Digestive System
Head and Neck Neoplasms	2557	Neoplasms
Squamous Cell Carcinoma of Head and Neck	2557	Neoplasms
Anemia	3227	Hemic and Lymphatic
Parkinson Disease	519	Nervous System
Coronary Artery Disease	153	Cardiovascular
Myocardial Ischemia	153	Cardiovascular
Coronary Disease	153	Cardiovascular
Anemia	577	Hemic and Lymphatic
Carcinoma	2404	Neoplasms
Arthritis	796	Musculoskeletal
Parkinson Disease	426	Nervous System
Parkinson Disease	579	Nervous System
Adenocarcinoma	641	Neoplasms
Fatty Liver	1826	Digestive System
Leukemia	427	Neoplasms
Glioblastoma	3196	Neoplasms
Glioma	3196	Neoplasms
Leukemia	3438	Neoplasms
Mesothelioma	1855	Neoplasms
Carcinoma	2707	Neoplasms
Carcinoma	1798	Neoplasms
Squamous Cell Carcinoma of Head and Neck	1798	Neoplasms
Glioblastoma	580	Neoplasms
Gliosarcoma	580	Neoplasms
Parkinson Disease	1552	Nervous System
Malaria	275	Infections
Mesothelioma	2253	Neoplasms
Irritable Bowel Syndrome	426	Digestive System
Melanoma	1737	Neoplasms
Leukemia	1430	Neoplasms
Anemia	1430	Hemic and Lymphatic
Myelodysplastic Syndromes	1430	Hemic and Lymphatic
Myeloproliferative Disorders	1430	Hemic and Lymphatic
Myelodysplastic-Myeloproliferative Diseases	1430	Hemic and Lymphatic
Head and Neck Neoplasms	1338	Neoplasms
Neoplasms	1338	Neoplasms
Carcinoma	1888	Neoplasms
Glioblastoma	853	Neoplasms
Glioma	853	Neoplasms
Glioma	1553	Neoplasms
Lung Diseases	488	Respiratory Tract
Carcinoma	426	Neoplasms
Epilepsy	639	Nervous System
Leukemia	2679	Neoplasms
Attention Deficit Disorder with Hyperactivity	273	Mental Disorders
Attention Deficit Disorder with Hyperactivity	397	Mental Disorders
Carcinoma	2436	Neoplasms
Head and Neck Neoplasms	2315	Neoplasms
Leukemia	2800	Neoplasms
Myelodysplastic Syndromes	2800	Hemic and Lymphatic
Neoplasms	2800	Neoplasms
Sarcoma	2406	Neoplasms
Macular Degeneration	1310	Eye
Melanoma	2981	Neoplasms
Irritable Bowel Syndrome	853	Digestive System
Hepatitis	1218	Digestive System
Colitis	1157	Digestive System
Arthritis	641	Musculoskeletal
Schizophrenia	153	Mental Disorders
Cognitive Dysfunction	153	Mental Disorders
Leukemia	1035	Neoplasms
Myelodysplastic Syndromes	1035	Hemic and Lymphatic
Bipolar Disorder	396	Mental Disorders
Neoplasms	2892	Neoplasms
Migraine Disorders	183	Nervous System
Carcinoma	550	Neoplasms
Sarcoma	915	Neoplasms
Schizophrenia	245	Mental Disorders
Psychotic Disorders	245	Mental Disorders
Depressive Disorder	974	Mental Disorders
Bipolar Disorder	974	Mental Disorders
Heart Failure	488	Cardiovascular
Carcinoma	1918	Neoplasms
Coronary Artery Disease	335	Cardiovascular
Myocardial Ischemia	335	Cardiovascular
Coronary Disease	335	Cardiovascular
Schizophrenia	699	Mental Disorders
Psychotic Disorders	699	Mental Disorders
Leukemia	2557	Neoplasms
Myelodysplastic Syndromes	2557	Hemic and Lymphatic
Depressive Disorder	123	Mental Disorders
Virus Diseases	1096	Infections
Parkinson Disease	365	Nervous System
Neoplasms	1553	Neoplasms
Coronary Artery Disease	1431	Cardiovascular
Lung Diseases	121	Respiratory Tract
Arthritis	151	Musculoskeletal
Schizophrenia	396	Mental Disorders
Cognitive Dysfunction	396	Mental Disorders
Leukemia	731	Neoplasms
Carcinoma	2314	Neoplasms
Melanoma	823	Neoplasms
Migraine Disorders	184	Nervous System
Schizophrenia	730	Mental Disorders
Osteoarthritis	549	Musculoskeletal
Carcinoma	2313	Neoplasms
Mesothelioma	2131	Neoplasms
Sarcoma	2039	Neoplasms
Head and Neck Neoplasms	1155	Neoplasms
Anxiety Disorders	1765	Mental Disorders
Attention Deficit Disorder with Hyperactivity	183	Mental Disorders
Schizophrenia	153	Mental Disorders
Anxiety Disorders	1765	Mental Disorders
Glioblastoma	2256	Neoplasms
Malaria	153	Infections
Carcinoma	1827	Neoplasms
Dyslipidemias	1188	Nutritional and Metabolic
Hypertension	2832	Cardiovascular
Hypercholesterolemia	1522	Nutritional and Metabolic
Dyslipidemias	1522	Nutritional and Metabolic
Carcinoma	2983	Neoplasms
Anemia	1310	Hemic and Lymphatic
Depressive Disorder	519	Mental Disorders
Schizophrenia	183	Mental Disorders
Psychotic Disorders	183	Mental Disorders
Carcinoma	2131	Neoplasms
Parkinson Disease	1703	Nervous System
Depressive Disorder	549	Mental Disorders
Anxiety Disorders	244	Mental Disorders
Glioblastoma	549	Neoplasms
Carcinoma	913	Neoplasms
Sarcoma	1188	Neoplasms
Macular Degeneration	1035	Eye
Melanoma	1187	Neoplasms
Leukemia	2710	Neoplasms
Graft vs Host Disease	2072	Immune System
Leukemia	1126	Neoplasms
Leukemia	1918	Neoplasms
Thrombocytopenia	1918	Hemic and Lymphatic
Carcinoma	1855	Neoplasms
Premature Birth	3836	Female
Primary Myelofibrosis	1065	Hemic and Lymphatic
Leukemia	1400	Neoplasms
Tuberculosis	1217	Infections
Hepatitis	946	Digestive System
Carcinoma	610	Neoplasms
Carcinoma	761	Neoplasms
Neoplasms	2223	Neoplasms
Neoplasms	519	Neoplasms
Carcinoma	3227	Neoplasms
Virus Diseases	123	Infections
Premature Birth	761	Female
Head and Neck Neoplasms	1278	Neoplasms
Adenocarcinoma	912	Neoplasms
Neoplasms	2041	Neoplasms
Psoriasis	793	Skin and Connective Tissue
Glioblastoma	2526	Neoplasms
Glioma	2526	Neoplasms
Dyslipidemias	215	Nutritional and Metabolic
Arthritis	489	Musculoskeletal
Schizophrenia	793	Mental Disorders
Peripheral Nervous System Diseases	396	Nervous System
Schizophrenia	640	Mental Disorders
Epilepsy	669	Nervous System
Melanoma	2587	Neoplasms
Schizophrenia	305	Mental Disorders
Cognitive Dysfunction	305	Mental Disorders
Neoplasms	2830	Neoplasms
Leukemia	3348	Neoplasms
Hepatitis	1796	Digestive System
Carcinoma	946	Neoplasms
Head and Neck Neoplasms	946	Neoplasms
Hepatitis	1338	Digestive System
Lung Diseases	1066	Respiratory Tract
Macular Edema	1949	Eye
Carcinoma	701	Neoplasms
Peripheral Nervous System Diseases	427	Nervous System
Carcinoma	2772	Neoplasms
Coronary Artery Disease	426	Cardiovascular
Schizophrenia	1216	Mental Disorders
Mesothelioma	1949	Neoplasms
Malaria	366	Infections
Melanoma	1857	Neoplasms
Macular Edema	884	Eye
Colitis	2465	Digestive System
Head and Neck Neoplasms	670	Neoplasms
Glioblastoma	2375	Neoplasms
Glioma	2375	Neoplasms
Glioblastoma	2679	Neoplasms
Glioma	2679	Neoplasms
Astrocytoma	2679	Neoplasms
Gliosarcoma	2679	Neoplasms
Melanoma	580	Neoplasms
Lung Diseases	1187	Respiratory Tract
Carcinoma	1303	Neoplasms
Head and Neck Neoplasms	1303	Neoplasms
Heart Diseases	305	Cardiovascular
Leukemia	700	Neoplasms
Peripheral Nervous System Diseases	427	Nervous System
Cardiovascular Diseases	730	Cardiovascular
Conjunctivitis	761	Eye
Neuroendocrine Tumors	701	Neoplasms
Fatty Liver	640	Digestive System
Glioblastoma	854	Neoplasms
Glioma	854	Neoplasms
Hypercholesterolemia	668	Nutritional and Metabolic
Cardiovascular Diseases	668	Cardiovascular
Carcinoma	1035	Neoplasms
Macular Edema	1826	Eye
Peripheral Nervous System Diseases	581	Nervous System
Hepatitis	1188	Digestive System
Leukemia	1858	Neoplasms
Sarcoma	1400	Neoplasms
Carcinoma	1157	Neoplasms
Glioma	1157	Neoplasms
Astrocytoma	1157	Neoplasms
Neoplasms	1157	Neoplasms
Adenocarcinoma	2192	Neoplasms
Arthritis	578	Musculoskeletal
Cardiovascular Diseases	397	Cardiovascular
Melanoma	1065	Neoplasms
Schizophrenia	396	Mental Disorders
Neuroblastoma	884	Neoplasms
Melanoma	1735	Neoplasms
Psoriasis	639	Skin and Connective Tissue
Malaria	457	Infections
Hypertension	274	Cardiovascular
Carcinoma	823	Neoplasms
Glaucoma	182	Eye
Tuberculosis	153	Infections
Carcinoma	853	Neoplasms
Coronary Artery Disease	1308	Cardiovascular
Myocardial Ischemia	1308	Cardiovascular
Coronary Disease	1308	Cardiovascular
Melanoma	3592	Neoplasms
Arthritis	670	Musculoskeletal
Acne Vulgaris	335	Skin and Connective Tissue
Glioblastoma	2069	Neoplasms
Gliosarcoma	2069	Neoplasms
Leukemia	2221	Neoplasms
Adenocarcinoma	4383	Neoplasms
Adenocarcinoma	3956	Neoplasms
Neoplasms	1736	Neoplasms
Leukemia	2891	Neoplasms
Myelodysplastic Syndromes	2891	Hemic and Lymphatic
Neoplasms	2284	Neoplasms
Thrombocytopenia	762	Hemic and Lymphatic
Parkinson Disease	428	Nervous System
Cardiovascular Diseases	639	Cardiovascular
Lung Diseases	138	Respiratory Tract
Adenocarcinoma	4386	Neoplasms
Carcinoma	1277	Neoplasms
Leukemia	1826	Neoplasms
Myeloproliferative Disorders	1826	Hemic and Lymphatic
Sarcoma	700	Neoplasms
Carcinoma	1553	Neoplasms
Heart Failure	792	Cardiovascular
Leukemia	2011	Neoplasms
Myelodysplastic Syndromes	2011	Hemic and Lymphatic
Hepatitis	762	Digestive System
Adenocarcinoma	1736	Neoplasms
Carcinoma	1735	Neoplasms
Melanoma	2247	Neoplasms
Carcinoma	2983	Neoplasms
Squamous Cell Carcinoma of Head and Neck	2983	Neoplasms
Head and Neck Neoplasms	2983	Neoplasms
Malaria	611	Infections
Carcinoma	1492	Neoplasms
Carcinoma	2984	Neoplasms
Neoplasms	2284	Neoplasms
Leukemia	4080	Neoplasms
Myelodysplastic Syndromes	4080	Hemic and Lymphatic
Leukemia	1949	Neoplasms
Melanoma	974	Neoplasms
Myelodysplastic Syndromes	1826	Hemic and Lymphatic
Head and Neck Neoplasms	2160	Neoplasms
Sarcoma	3228	Neoplasms
Primary Myelofibrosis	3533	Hemic and Lymphatic
Glioblastoma	3074	Neoplasms
Leukemia	2588	Neoplasms
Lung Diseases	153	Respiratory Tract
Depressive Disorder	854	Mental Disorders
Leukemia	1035	Neoplasms
Leukemia	580	Neoplasms
Hepatitis	274	Digestive System
Adenocarcinoma	823	Neoplasms
Depressive Disorder	1308	Mental Disorders
Carcinoma	2955	Neoplasms
Carcinoma	4018	Neoplasms
Leukemia	1066	Neoplasms
Hepatitis	1766	Digestive System
Epilepsy	2284	Nervous System
Dermatitis	762	Skin and Connective Tissue
Tuberculosis	1065	Infections
Hepatitis	2253	Digestive System
Carcinoma	1339	Neoplasms
Head and Neck Neoplasms	1339	Neoplasms
Anemia	1309	Hemic and Lymphatic
Melanoma	1980	Neoplasms
Heart Failure	335	Cardiovascular
Melanoma	1827	Neoplasms
Schizophrenia	3380	Mental Disorders
Psychotic Disorders	3380	Mental Disorders
Leukemia	790	Neoplasms
Depressive Disorder	366	Mental Disorders
Carcinoma	2161	Neoplasms
Head and Neck Neoplasms	2161	Neoplasms
Carcinoma	4413	Neoplasms
Leukemia	1613	Neoplasms
Coronary Artery Disease	609	Cardiovascular
Colitis	761	Digestive System
Hypercholesterolemia	640	Nutritional and Metabolic
Melanoma	1277	Neoplasms
Anemia	1492	Hemic and Lymphatic
Myelodysplastic Syndromes	1492	Hemic and Lymphatic
Myeloproliferative Disorders	1492	Hemic and Lymphatic
Arthritis	1673	Musculoskeletal
Dermatitis	212	Skin and Connective Tissue
Migraine Disorders	517	Nervous System
Epilepsy	884	Nervous System
Dermatitis	610	Skin and Connective Tissue
Hepatitis	854	Digestive System
Leukemia	1950	Neoplasms
Osteoarthritis	672	Musculoskeletal
Leukemia	3227	Neoplasms
Hepatitis	1035	Digestive System
Macular Edema	213	Eye
Neoplasms	1157	Neoplasms
Parkinson Disease	727	Nervous System
Hepatitis	943	Digestive System
Parkinson Disease	822	Nervous System
Glaucoma	182	Eye
Ocular Hypertension	182	Eye
Hypertension	182	Cardiovascular
Heart Diseases	974	Cardiovascular
Arthritis	853	Musculoskeletal
Anxiety Disorders	153	Mental Disorders
Melanoma	2922	Neoplasms
Psoriasis	304	Skin and Connective Tissue
Glioblastoma	670	Neoplasms
Glioma	670	Neoplasms
Anemia	1066	Hemic and Lymphatic
Hypertension	519	Cardiovascular
Psoriasis	668	Skin and Connective Tissue
Glioblastoma	1613	Neoplasms
Gliosarcoma	1613	Neoplasms
Neoplasms	730	Neoplasms
Liver Diseases	4918	Digestive System
Leukemia	3897	Neoplasms
Neoplasms	1614	Neoplasms
Metabolic Syndrome	1431	Nutritional and Metabolic
Leukemia	1593	Neoplasms
Arthritis	334	Musculoskeletal
Macular Degeneration	1522	Eye
Glaucoma	122	Eye
Ocular Hypertension	122	Eye
Hypertension	122	Cardiovascular
Macular Degeneration	976	Eye
Crohn Disease	761	Digestive System
Leukemia	1065	Neoplasms
Leukemia	7761	Neoplasms
Coronary Artery Disease	517	Cardiovascular
Myocardial Ischemia	517	Cardiovascular
Coronary Disease	517	Cardiovascular
